grab_date,flight_date,remain_day,flight_no,start_airport,arrival_airport,DC_CABIN,DC_PRICE
2017/1/10,2017/1/17,7,CA1883,PEK,SHA,\N,\N
2017/1/10,2017/1/19,9,CA1883,PEK,SHA,\N,\N
2017/1/10,2017/1/11,1,CA1883,PEK,SHA,\N,\N
2017/1/10,2017/1/16,6,CA1883,PEK,SHA,\N,\N
2017/1/10,2017/1/14,4,CA1883,PEK,SHA,\N,\N
2017/1/10,2017/1/23,13,CA1883,PEK,SHA,\N,\N
2017/1/10,2017/2/3,24,CA1883,PEK,SHA,\N,\N
2017/1/10,2017/1/12,2,CA1883,PEK,SHA,\N,\N
2017/1/10,2017/1/28,18,CA1883,PEK,SHA,\N,\N
2017/1/10,2017/2/1,22,CA1883,PEK,SHA,\N,\N
2017/1/10,2017/2/4,25,CA1883,PEK,SHA,\N,\N
2017/1/10,2017/1/26,16,CA1883,PEK,SHA,\N,\N
2017/1/10,2017/1/27,17,CA1883,PEK,SHA,\N,\N
2017/1/10,2017/1/25,15,CA1883,PEK,SHA,\N,\N
2017/1/10,2017/2/8,29,CA1883,PEK,SHA,\N,\N
2017/1/10,2017/1/21,11,CA1883,PEK,SHA,\N,\N
2017/1/10,2017/1/30,20,CA1883,PEK,SHA,\N,\N
2017/1/10,2017/2/9,30,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/1/16,5,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/1/12,1,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/1/15,4,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/1/19,8,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/1/27,16,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/1/29,18,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/1/23,12,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/1/18,7,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/1/26,15,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/1/30,19,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/2/7,27,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/2/1,21,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/2/2,22,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/2/10,30,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/2/6,26,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/2/4,24,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/2/13,33,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/2/18,38,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/2/22,42,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/2/23,43,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/2/20,40,CA1883,PEK,SHA,\N,\N
2017/1/11,2017/2/25,45,CA1883,PEK,SHA,\N,\N
