PREDICT,TRUE,ERROR
1230,1230,0
609,500,-109
1230,1230,0
430,430,0
590,590,0
684,690,6
670,670,0
620,620,0
610,610,0
655,640,-15
630,630,0
900,900,0
1230,1230,0
820,820,0
1360,1360,0
540,540,0
810,810,0
1240,1240,0
1230,1230,0
694,680,-14
763,760,-3
1230,1230,0
567,530,-37
640,640,0
449,430,-19
722,790,68
500,500,0
580,580,0
560,560,0
820,820,0
559,530,-29
1230,1230,0
760,760,0
443,430,-13
700,700,0
1230,1230,0
868,900,32
820,820,0
560,560,0
1240,1240,0
1360,1360,0
443,470,27
940,940,0
441,430,-11
430,430,0
868,900,32
1030,1030,0
580,580,0
530,530,0
930,930,0
530,530,0
500,500,0
847,850,3
700,700,0
740,740,0
630,630,0
930,930,0
780,800,20
690,690,0
730,730,0
583,560,-23
446,430,-16
545,530,-15
550,550,0
1070,1070,0
410,400,-10
760,760,0
663,660,-3
850,850,0
1030,1030,0
1240,1240,0
944,930,-14
681,680,-1
550,550,0
565,560,-5
660,660,0
590,590,0
1240,1240,0
520,520,0
560,560,0
1360,1360,0
700,700,0
644,660,16
400,400,0
764,730,-34
700,700,0
0,0,0
647,660,13
760,760,0
886,900,14
784,760,-24
1094,1060,-34
1116,1240,124
539,530,-9
794,820,26
430,430,0
736,730,-6
852,950,98
1230,1230,0
1230,1230,0
804,810,6
533,530,-3
582,560,-22
756,760,4
524,530,6
629,560,-69
953,1000,47
530,530,0
560,560,0
430,430,0
1232,1230,-2
680,680,0
529,530,1
633,640,7
1230,1230,0
560,560,0
430,430,0
630,630,0
524,530,6
656,660,4
1360,1360,0
680,680,0
539,540,1
805,810,5
601,530,-71
430,430,0
740,740,0
544,530,-14
500,500,0
590,590,0
580,580,0
700,700,0
659,660,1
740,740,0
910,910,0
401,350,-51
740,740,0
649,640,-9
529,530,1
700,700,0
1070,1070,0
530,530,0
740,740,0
610,610,0
690,690,0
636,630,-6
1230,1230,0
450,430,-20
1064,940,-124
440,430,-10
370,370,0
820,820,0
530,530,0
940,940,0
890,890,0
810,810,0
544,560,16
1230,1230,0
700,700,0
430,430,0
873,820,-53
628,690,62
910,910,0
1230,1230,0
500,500,0
610,610,0
580,580,0
776,780,4
900,900,0
760,760,0
900,900,0
531,530,-1
530,530,0
702,780,78
1030,1030,0
690,690,0
780,780,0
810,810,0
820,820,0
520,520,0
560,560,0
792,870,78
930,930,0
630,630,0
700,700,0
730,730,0
570,560,-10
430,430,0
1240,1240,0
820,820,0
930,1230,300
620,620,0
578,580,2
1230,1230,0
930,930,0
1030,1030,0
1230,1230,0
539,530,-9
732,730,-2
522,520,-2
690,690,0
563,560,-3
207,0,-207
1230,1230,0
560,560,0
1240,1240,0
839,550,-289
763,760,-3
430,430,0
900,900,0
1360,1360,0
500,500,0
790,790,0
780,780,0
1030,1030,0
595,580,-15
580,580,0
590,590,0
1230,1230,0
502,500,-2
1235,1240,5
560,560,0
760,760,0
580,580,0
568,580,12
466,470,4
820,820,0
1060,930,-130
640,640,0
530,530,0
550,550,0
485,480,-5
610,610,0
1030,1030,0
590,590,0
844,810,-34
1230,1230,0
1020,1020,0
1360,1360,0
430,430,0
0,0,0
560,560,0
740,740,0
636,530,-106
400,400,0
1230,1230,0
760,760,0
530,530,0
730,730,0
566,560,-6
744,730,-14
740,740,0
488,610,122
1230,1230,0
1230,1230,0
740,740,0
1230,1230,0
670,680,10
430,430,0
900,900,0
480,480,0
610,610,0
850,850,0
400,400,0
590,590,0
694,690,-4
617,620,3
1030,1030,0
400,400,0
400,400,0
530,530,0
400,400,0
780,780,0
1230,1230,0
1230,1230,0
560,560,0
430,430,0
500,500,0
683,690,7
744,730,-14
1360,1360,0
0,0,0
1030,1030,0
583,530,-53
900,900,0
719,690,-29
748,820,72
1360,1360,0
700,700,0
620,620,0
0,0,0
0,0,0
530,530,0
730,730,0
400,400,0
530,530,0
1230,1230,0
530,530,0
430,430,0
1070,1070,0
1030,1030,0
690,690,0
842,870,28
560,560,0
0,0,0
620,620,0
684,670,-14
403,400,-3
852,850,-2
526,690,164
500,500,0
400,400,0
1230,1230,0
610,610,0
690,690,0
1070,1070,0
530,530,0
640,640,0
820,820,0
550,550,0
540,540,0
0,0,0
532,530,-2
520,520,0
700,700,0
670,670,0
1240,1240,0
520,520,0
910,910,0
0,0,0
443,430,-13
690,690,0
1360,1360,0
1230,1230,0
810,810,0
681,680,-1
1360,1360,0
652,630,-22
1230,1230,0
790,790,0
1230,1230,0
1230,1230,0
690,690,0
740,740,0
930,930,0
610,610,0
530,530,0
