ticket_date,flight_date,remain_day,valid_price,ticket_year,ticket_month,ticket_day,ticket_weekday,flight_year,flight_month,flight_day,flight_weekday,remain_day_interval
2017-07-21,2017-08-09,19,920,2017,7,21,5,2017,8,9,3,2
2017-07-21,2017-09-13,54,920,2017,7,21,5,2017,9,13,3,6
2017-07-21,2017-09-14,55,920,2017,7,21,5,2017,9,14,4,6
2017-07-21,2017-09-05,46,530,2017,7,21,5,2017,9,5,2,5
2017-07-21,2017-09-09,50,530,2017,7,21,5,2017,9,9,6,5
2017-07-21,2017-09-11,52,530,2017,7,21,5,2017,9,11,1,6
2017-07-21,2017-09-12,53,530,2017,7,21,5,2017,9,12,2,6
2017-07-21,2017-09-16,57,530,2017,7,21,5,2017,9,16,6,6
2017-07-21,2017-09-18,59,530,2017,7,21,5,2017,9,18,1,6
2017-07-21,2017-07-24,3,1040,2017,7,21,5,2017,7,24,1,1
2017-07-21,2017-08-03,13,790,2017,7,21,5,2017,8,3,4,2
2017-07-21,2017-08-10,20,790,2017,7,21,5,2017,8,10,4,2
2017-07-21,2017-09-06,47,790,2017,7,21,5,2017,9,6,3,5
2017-07-21,2017-09-07,48,790,2017,7,21,5,2017,9,7,4,5
2017-07-21,2017-08-08,18,670,2017,7,21,5,2017,8,8,2,2
2017-07-21,2017-08-19,29,670,2017,7,21,5,2017,8,19,6,3
2017-07-21,2017-08-20,30,670,2017,7,21,5,2017,8,20,7,3
2017-07-21,2017-08-27,37,670,2017,7,21,5,2017,8,27,7,4
2017-07-21,2017-09-10,51,670,2017,7,21,5,2017,9,10,7,6
2017-07-21,2017-09-17,58,670,2017,7,21,5,2017,9,17,7,6
2017-07-21,2017-09-19,60,670,2017,7,21,5,2017,9,19,2,6
2017-07-21,2017-08-18,28,1240,2017,7,21,5,2017,8,18,5,3
2017-07-21,2017-09-08,49,1240,2017,7,21,5,2017,9,8,5,5
2017-07-21,2017-09-15,56,1240,2017,7,21,5,2017,9,15,5,6
2017-07-22,2017-09-13,53,860,2017,7,22,6,2017,9,13,3,6
2017-07-22,2017-09-14,54,860,2017,7,22,6,2017,9,14,4,6
2017-07-22,2017-09-20,60,860,2017,7,22,6,2017,9,20,3,6
2017-07-22,2017-08-16,25,880,2017,7,22,6,2017,8,16,3,3
2017-07-22,2017-09-09,49,490,2017,7,22,6,2017,9,9,6,5
2017-07-22,2017-09-11,51,490,2017,7,22,6,2017,9,11,1,6
2017-07-22,2017-09-12,52,490,2017,7,22,6,2017,9,12,2,6
2017-07-22,2017-09-16,56,490,2017,7,22,6,2017,9,16,6,6
2017-07-22,2017-09-18,58,490,2017,7,22,6,2017,9,18,1,6
2017-07-22,2017-08-05,14,520,2017,7,22,6,2017,8,5,6,2
2017-07-22,2017-07-23,1,1030,2017,7,22,6,2017,7,23,7,1
2017-07-22,2017-08-31,40,730,2017,7,22,6,2017,8,31,4,4
2017-07-22,2017-09-06,46,730,2017,7,22,6,2017,9,6,3,5
2017-07-22,2017-09-07,47,730,2017,7,22,6,2017,9,7,4,5
2017-07-22,2017-08-03,12,780,2017,7,22,6,2017,8,3,4,2
2017-07-22,2017-08-22,31,620,2017,7,22,6,2017,8,22,2,4
2017-07-22,2017-08-27,36,620,2017,7,22,6,2017,8,27,7,4
2017-07-22,2017-09-10,50,620,2017,7,22,6,2017,9,10,7,5
2017-07-22,2017-09-17,57,620,2017,7,22,6,2017,9,17,7,6
2017-07-22,2017-09-19,59,620,2017,7,22,6,2017,9,19,2,6
2017-07-22,2017-08-13,22,640,2017,7,22,6,2017,8,13,7,3
2017-07-22,2017-08-19,28,640,2017,7,22,6,2017,8,19,6,3
2017-07-22,2017-08-01,10,660,2017,7,22,6,2017,8,1,2,1
2017-07-22,2017-08-25,34,1230,2017,7,22,6,2017,8,25,5,4
2017-07-22,2017-09-08,48,1230,2017,7,22,6,2017,9,8,5,5
2017-07-22,2017-09-15,55,1230,2017,7,22,6,2017,9,15,5,6
2017-07-23,2017-09-20,59,860,2017,7,23,7,2017,9,20,3,6
2017-07-23,2017-09-21,60,860,2017,7,23,7,2017,9,21,4,6
2017-07-23,2017-08-09,17,880,2017,7,23,7,2017,8,9,3,2
2017-07-23,2017-08-28,36,490,2017,7,23,7,2017,8,28,1,4
2017-07-23,2017-09-09,48,490,2017,7,23,7,2017,9,9,6,5
2017-07-23,2017-09-12,51,490,2017,7,23,7,2017,9,12,2,6
2017-07-23,2017-08-12,20,510,2017,7,23,7,2017,8,12,6,2
2017-07-23,2017-08-05,13,520,2017,7,23,7,2017,8,5,6,2
2017-07-23,2017-07-26,3,1030,2017,7,23,7,2017,7,26,3,1
2017-07-23,2017-08-30,38,730,2017,7,23,7,2017,8,30,3,4
2017-07-23,2017-09-07,46,730,2017,7,23,7,2017,9,7,4,5
2017-07-23,2017-08-03,11,780,2017,7,23,7,2017,8,3,4,2
2017-07-23,2017-09-10,49,620,2017,7,23,7,2017,9,10,7,5
2017-07-23,2017-09-19,58,620,2017,7,23,7,2017,9,19,2,6
2017-07-23,2017-08-13,21,640,2017,7,23,7,2017,8,13,7,3
2017-07-23,2017-08-06,14,660,2017,7,23,7,2017,8,6,7,2
2017-07-23,2017-08-04,12,1230,2017,7,23,7,2017,8,4,5,2
2017-07-23,2017-08-18,26,1230,2017,7,23,7,2017,8,18,5,3
2017-07-23,2017-09-08,47,1230,2017,7,23,7,2017,9,8,5,5
2017-07-25,2017-09-13,50,860,2017,7,25,2,2017,9,13,3,5
2017-07-25,2017-09-14,51,860,2017,7,25,2,2017,9,14,4,6
2017-07-25,2017-09-20,57,860,2017,7,25,2,2017,9,20,3,6
2017-07-25,2017-09-21,58,860,2017,7,25,2,2017,9,21,4,6
2017-07-25,2017-08-09,15,880,2017,7,25,2,2017,8,9,3,2
2017-07-25,2017-08-10,16,880,2017,7,25,2,2017,8,10,4,2
2017-07-25,2017-08-26,32,490,2017,7,25,2,2017,8,26,6,4
2017-07-25,2017-09-09,46,490,2017,7,25,2,2017,9,9,6,5
