ticket_date,flight_date,remain_day,valid_price,ticket_year,ticket_month,ticket_day,ticket_weekday,flight_year,flight_month,flight_day,flight_weekday,remain_day_interval,lowest_price,ave_price,ave_valid_price,ave_price_monday,ave_price_lastmon
2018/2/10,2018/2/11,1,670,2018,2,10,6,2018,2,11,7,1,670,748.59375,787.8378378378378,693.5637938681073,716.9911446354133
2018/2/9,2018/2/11,2,670,2018,2,9,5,2018,2,11,7,1,670,749.8412698412699,736.3157894736842,684.7531603276383,715.559670903705
2018/2/9,2018/2/11,2,790,2018,2,9,5,2018,2,11,7,1,670,751.1290322580645,736.3157894736842,684.7531603276383,715.559670903705
2018/2/8,2018/2/11,3,670,2018,2,8,4,2018,2,11,7,1,670,750.4918032786885,715.0,685.208585147251,709.9696062193133
2018/2/8,2018/2/11,3,790,2018,2,8,4,2018,2,11,7,1,670,751.8333333333334,715.0,685.208585147251,709.9696062193133
2018/2/7,2018/2/11,4,1240,2018,2,7,3,2018,2,11,7,1,670,751.1864406779661,741.5151515151515,691.5869190824217,708.4769199466858
2018/2/6,2018/2/11,5,1240,2018,2,6,2,2018,2,11,7,1,670,742.7586206896551,745.0,690.2313080429523,719.3296907335476
2018/2/5,2018/2/11,6,790,2018,2,5,1,2018,2,11,7,1,670,734.0350877192982,722.4137931034483,685.3551067116458,715.9740701287647
2018/2/4,2018/2/11,7,790,2018,2,4,7,2018,2,11,7,1,670,733.0357142857143,760.7407407407408,701.5256150953617,743.8546837374452
2018/2/3,2018/2/11,8,790,2018,2,3,6,2018,2,11,7,1,670,732.0,683.3333333333334,694.7420034861177,713.3308888131767
2018/2/2,2018/2/11,9,790,2018,2,2,5,2018,2,11,7,1,670,730.925925925926,648.8888888888889,694.7255097651998,726.2596935640464
2018/2/1,2018/2/11,10,790,2018,2,1,4,2018,2,11,7,1,670,729.811320754717,669.2857142857143,686.9631772515089,694.8099181903084
2018/1/31,2018/2/11,11,790,2018,1,31,3,2018,2,11,7,2,670,728.6538461538462,675.7142857142857,698.1573450793351,702.4235599405597
2018/1/30,2018/2/11,12,790,2018,1,30,2,2018,2,11,7,2,670,727.4509803921569,677.1428571428571,691.0821920444924,712.8476830659126
2018/1/29,2018/2/11,13,670,2018,1,29,1,2018,2,11,7,2,670,726.2,725.0,686.4338376453924,734.6885127517081
2018/1/28,2018/2/11,14,670,2018,1,28,7,2018,2,11,7,2,670,727.3469387755102,718.1481481481482,689.0997992571696,724.4116601166588
2018/1/27,2018/2/11,15,670,2018,1,27,6,2018,2,11,7,2,670,728.5416666666666,698.5714285714286,688.2819291668412,707.9627579218436
2018/1/26,2018/2/11,16,690,2018,1,26,5,2018,2,11,7,2,670,729.7872340425532,719.6153846153846,692.9771597081909,711.4719578330327
2018/1/25,2018/2/11,17,690,2018,1,25,4,2018,2,11,7,2,670,730.6521739130435,720.3703703703703,685.6931570288854,700.4963059764876
2018/1/24,2018/2/11,18,690,2018,1,24,3,2018,2,11,7,2,670,731.5555555555555,734.8,691.8149513837955,707.2395819860084
2018/1/23,2018/2/11,19,560,2018,1,23,2,2018,2,11,7,2,560,732.5,726.4,690.8112480060173,723.2202116118887
2018/1/22,2018/2/11,20,560,2018,1,22,1,2018,2,11,7,2,560,736.5116279069767,717.4074074074074,677.5388907901414,726.7412365255244
2018/1/21,2018/2/11,21,560,2018,1,21,7,2018,2,11,7,3,560,740.7142857142857,705.7142857142857,667.7928320827031,750.1279725715009
2018/1/20,2018/2/11,22,560,2018,1,20,6,2018,2,11,7,3,560,745.1219512195122,721.5384615384615,682.9360562711767,712.3799603909146
2018/1/19,2018/2/11,23,560,2018,1,19,5,2018,2,11,7,3,560,749.75,704.074074074074,680.7486439546823,711.6841318196365
2018/1/18,2018/2/11,24,560,2018,1,18,4,2018,2,11,7,3,560,754.6153846153846,708.5185185185185,669.0306460742123,702.4128982831504
2018/1/17,2018/2/11,25,560,2018,1,17,3,2018,2,11,7,3,560,759.7368421052631,706.7857142857143,672.5101663362942,709.8451010255797
2018/1/16,2018/2/11,26,560,2018,1,16,2,2018,2,11,7,3,560,765.1351351351351,714.4,684.0096480112271,728.1933285478176
2018/1/15,2018/2/11,27,690,2018,1,15,1,2018,2,11,7,3,560,770.8333333333334,709.6,683.1469825106977,743.9996588402158
2018/1/14,2018/2/11,28,690,2018,1,14,7,2018,2,11,7,3,560,773.1428571428571,704.6153846153846,684.6192723452787,737.2069523440197
2018/1/13,2018/2/11,29,690,2018,1,13,6,2018,2,11,7,3,560,775.5882352941177,708.5185185185185,667.5978094054075,696.142138709274
2018/1/12,2018/2/11,30,690,2018,1,12,5,2018,2,11,7,3,560,778.1818181818181,722.8,680.3250531678947,717.1200834928303
2018/1/11,2018/2/11,31,690,2018,1,11,4,2018,2,11,7,4,560,780.9375,720.4,678.960982404692,727.3607775911814
2018/1/10,2018/2/11,32,690,2018,1,10,3,2018,2,11,7,4,560,783.8709677419355,688.0,677.5790204604443,733.2842432950191
2018/1/9,2018/2/11,33,690,2018,1,9,2,2018,2,11,7,4,560,787.0,678.0,677.1908432650033,746.527375821018
2018/1/8,2018/2/11,34,690,2018,1,8,1,2018,2,11,7,4,560,790.3448275862069,680.4,677.1068833683515,747.4034591087392
2018/1/7,2018/2/11,35,690,2018,1,7,7,2018,2,11,7,4,560,793.9285714285714,689.6296296296297,689.675036164819,756.1832611832612
2018/1/6,2018/2/11,36,690,2018,1,6,6,2018,2,11,7,4,560,797.7777777777778,685.1724137931035,690.0683562265016,741.4523148148149
2018/1/5,2018/2/11,37,690,2018,1,5,5,2018,2,11,7,4,560,801.9230769230769,696.4285714285714,699.8867121634977,746.0658653846154
2018/1/4,2018/2/11,38,560,2018,1,4,4,2018,2,11,7,4,560,806.4,698.5714285714286,699.9730543610979,743.3101675724638
2018/1/3,2018/2/11,39,560,2018,1,3,3,2018,2,11,7,4,560,816.6666666666666,693.9285714285714,699.9838797072491,745.04549571805
2018/1/2,2018/2/11,40,560,2018,1,2,2,2018,2,11,7,4,560,827.8260869565217,689.6428571428571,700.212095332204,751.9054601312666
2018/1/1,2018/2/11,41,560,2018,1,1,1,2018,2,11,7,5,560,840.0,689.3103448275862,690.4687120725353,753.084485407066
2017/12/31,2018/2/11,42,560,2017,12,31,7,2018,2,11,7,5,560,853.3333333333334,689.3333333333334,691.0096832991569,754.2691001697793
2017/12/30,2018/2/11,43,560,2017,12,30,6,2018,2,11,7,5,560,868.0,696.2068965517242,696.0682021144819,748.9702119883038
2017/12/29,2018/2/11,44,690,2017,12,29,5,2018,2,11,7,5,560,884.2105263157895,703.2142857142857,700.7084684751092,756.4452877925364
2017/12/28,2018/2/11,45,690,2017,12,28,4,2018,2,11,7,5,560,895.0,710.0,700.4995408251021,757.8937381404174
2017/12/27,2018/2/11,46,690,2017,12,27,3,2018,2,11,7,5,560,907.0588235294117,690.0,695.3331079558259,759.3629032258066
2017/12/26,2018/2/11,47,690,2017,12,26,2,2018,2,11,7,5,560,920.625,672.6666666666666,686.468487394958,760.4193548387095
2017/12/25,2018/2/11,48,560,2017,12,25,1,2018,2,11,7,5,560,936.0,672.0689655172414,691.7989610963749,762.1339950372208
2017/12/24,2018/2/11,49,560,2017,12,24,7,2018,2,11,7,5,560,962.8571428571429,663.1034482758621,692.9987368952886,763.9454094292804
2017/12/23,2018/2/11,50,560,2017,12,23,6,2018,2,11,7,5,560,993.8461538461538,658.0,707.9420301920303,765.9090909090909
