ticket_date,flight_date,remain_day,valid_price,ticket_year,ticket_month,ticket_day,ticket_weekday,flight_year,flight_month,flight_day,flight_weekday,remain_day_interval,lowest_price,ave_price,ave_valid_price,ave_price_monday
2017-11-04,2017-11-05,1,1060,2017,11,4,6,2017,11,5,7,1,1060,662.0454545454545,925.0,729.5266715159546
2017-11-03,2017-11-05,2,1060,2017,11,3,5,2017,11,5,7,1,1060,652.7906976744188,912.6666666666666,725.6505630973811
2017-11-02,2017-11-05,3,1060,2017,11,2,4,2017,11,5,7,1,1060,643.0952380952381,901.6666666666666,721.7875882196531
2017-11-01,2017-11-05,4,1060,2017,11,1,3,2017,11,5,7,1,1060,632.9268292682926,882.0,718.0234559322145
2017-10-31,2017-11-05,5,810,2017,10,31,2,2017,11,5,7,1,810,622.25,798.0,714.51675688873
2017-10-30,2017-11-05,6,810,2017,10,30,1,2017,11,5,7,1,810,617.4358974358976,800.3333333333334,712.728792543471
2017-10-29,2017-11-05,7,660,2017,10,29,7,2017,11,5,7,1,660,612.3684210526316,733.3333333333334,710.7895099972689
2017-10-28,2017-11-05,8,660,2017,10,28,6,2017,11,5,7,1,660,611.081081081081,742.0,710.2554966514014
2017-10-27,2017-11-05,9,660,2017,10,27,5,2017,11,5,7,1,660,609.7222222222222,745.3333333333334,709.5257294472849
2017-10-26,2017-11-05,10,660,2017,10,26,4,2017,11,5,7,1,660,608.2857142857142,744.1379310344828,708.4277999343891
2017-10-25,2017-11-05,11,660,2017,10,25,3,2017,11,5,7,2,660,606.7647058823529,742.8571428571429,707.4102503241459
2017-10-24,2017-11-05,12,660,2017,10,24,2,2017,11,5,7,2,660,605.1515151515151,729.6296296296297,687.1692834900452
2017-10-23,2017-11-05,13,690,2017,10,23,1,2017,11,5,7,2,660,603.4375,741.9230769230769,693.7347181858823
2017-10-13,2017-11-05,23,620,2017,10,13,5,2017,11,5,7,3,620,600.6451612903227,711.7647058823529,695.1851689725909
2017-10-05,2017-11-05,31,590,2017,10,5,4,2017,11,5,7,4,590,600.0,695.6666666666666,700.0666666666667
2017-10-04,2017-11-05,32,590,2017,10,4,3,2017,11,5,7,4,590,600.3448275862069,695.6666666666666,700.2183908045976
2017-10-03,2017-11-05,33,590,2017,10,3,2,2017,11,5,7,4,590,600.7142857142858,697.3333333333334,700.3809523809523
2017-10-02,2017-11-05,34,590,2017,10,2,1,2017,11,5,7,4,590,601.1111111111112,697.3333333333334,700.4938271604939
2017-10-01,2017-11-05,35,590,2017,10,1,7,2017,11,5,7,4,590,601.5384615384615,697.3333333333334,700.6153846153846
2017-09-30,2017-11-05,36,590,2017,9,30,6,2017,11,5,7,4,590,602.0,697.3333333333334,700.7466666666664
2017-09-29,2017-11-05,37,590,2017,9,29,5,2017,11,5,7,4,590,602.5,697.3333333333334,700.8888888888888
2017-09-28,2017-11-05,38,590,2017,9,28,4,2017,11,5,7,4,590,603.0434782608696,697.3333333333334,701.0434782608696
2017-09-27,2017-11-05,39,590,2017,9,27,3,2017,11,5,7,4,590,603.6363636363636,697.3333333333334,701.2121212121214
2017-09-26,2017-11-05,40,590,2017,9,26,2,2017,11,5,7,4,590,604.2857142857142,697.3333333333334,701.3968253968254
2017-09-25,2017-11-05,41,590,2017,9,25,1,2017,11,5,7,5,590,605.0,697.3333333333334,701.6
2017-09-24,2017-11-05,42,590,2017,9,24,7,2017,11,5,7,5,590,605.7894736842105,697.3333333333334,701.8245614035088
2017-09-23,2017-11-05,43,590,2017,9,23,6,2017,11,5,7,5,590,606.6666666666666,697.3333333333334,702.0740740740741
2017-09-22,2017-11-05,44,590,2017,9,22,5,2017,11,5,7,5,590,607.6470588235294,697.3333333333334,702.3529411764707
2017-09-21,2017-11-05,45,590,2017,9,21,4,2017,11,5,7,5,590,608.75,701.3333333333334,702.6666666666666
2017-09-20,2017-11-05,46,590,2017,9,20,3,2017,11,5,7,5,590,610.0,701.3333333333334,702.7555555555555
2017-09-19,2017-11-05,47,590,2017,9,19,2,2017,11,5,7,5,590,611.4285714285714,697.6666666666666,702.857142857143
2017-09-18,2017-11-05,48,590,2017,9,18,1,2017,11,5,7,5,590,613.0769230769231,700.0,703.2564102564103
2017-09-17,2017-11-05,49,690,2017,9,17,7,2017,11,5,7,5,590,615.0,700.6666666666666,703.5277777777778
2017-09-16,2017-11-05,50,590,2017,9,16,6,2017,11,5,7,5,590,608.1818181818181,700.6666666666666,703.7878787878788
2017-09-15,2017-11-05,51,590,2017,9,15,5,2017,11,5,7,6,590,610.0,700.6666666666666,704.1
2017-09-14,2017-11-05,52,590,2017,9,14,4,2017,11,5,7,6,590,612.2222222222222,701.3333333333334,704.4814814814815
2017-09-13,2017-11-05,53,590,2017,9,13,3,2017,11,5,7,6,590,615.0,701.3333333333334,704.875
2017-09-12,2017-11-05,54,590,2017,9,12,2,2017,11,5,7,6,590,618.5714285714286,701.6666666666666,705.3809523809522
2017-09-11,2017-11-05,55,590,2017,9,11,1,2017,11,5,7,6,590,623.3333333333334,704.0,706.0
2017-09-10,2017-11-05,56,590,2017,9,10,7,2017,11,5,7,6,590,630.0,705.0,706.4
2017-09-09,2017-11-05,57,590,2017,9,9,6,2017,11,5,7,6,590,640.0,707.3333333333334,706.75
2017-09-08,2017-11-05,58,690,2017,9,8,5,2017,11,5,7,6,590,656.6666666666666,704.3333333333334,706.5555555555555
2017-09-07,2017-11-05,59,590,2017,9,7,4,2017,11,5,7,6,590,640.0,707.3333333333334,707.6666666666666
2017-09-06,2017-11-05,60,690,2017,9,6,3,2017,11,5,7,6,590,690.0,708.0,708.0
2017-12-21,2017-12-22,1,1230,2017,12,21,4,2017,12,22,5,1,1230,1230.3225806451612,857.3809523809524,662.1800128936671
2017-12-20,2017-12-22,2,1230,2017,12,20,3,2017,12,22,5,1,1230,1230.327868852459,826.3157894736842,680.9644480970592
2017-12-19,2017-12-22,3,1230,2017,12,19,2,2017,12,22,5,1,1230,1230.3333333333333,845.7894736842105,663.9545717247827
2017-12-18,2017-12-22,4,1230,2017,12,18,1,2017,12,22,5,1,1230,1230.3389830508474,826.6666666666666,678.7773948666194
2017-12-17,2017-12-22,5,1230,2017,12,17,7,2017,12,22,5,1,1230,1230.344827586207,734.25,669.1540204530961
2017-12-16,2017-12-22,6,1230,2017,12,16,6,2017,12,22,5,1,1230,1230.3508771929826,718.2978723404256,664.0583600643745
2017-12-15,2017-12-22,7,1230,2017,12,15,5,2017,12,22,5,1,1230,1230.357142857143,737.7142857142857,710.1186921680561
2017-12-14,2017-12-22,8,1230,2017,12,14,4,2017,12,22,5,1,1230,1230.3636363636365,696.2857142857143,670.0855737678833
2017-12-13,2017-12-22,9,1230,2017,12,13,3,2017,12,22,5,1,1230,1230.3703703703704,691.3888888888889,663.3644460351745
2017-12-12,2017-12-22,10,1230,2017,12,12,2,2017,12,22,5,1,1230,1230.377358490566,708.0,673.4794136106011
2017-12-11,2017-12-22,11,1230,2017,12,11,1,2017,12,22,5,2,1230,1230.3846153846155,703.1428571428571,669.0556185163955
2017-12-10,2017-12-22,12,1230,2017,12,10,7,2017,12,22,5,2,1230,1230.3921568627452,709.1666666666666,668.3226451570791
2017-12-09,2017-12-22,13,1240,2017,12,9,6,2017,12,22,5,2,1230,1230.4,739.4117647058823,694.6022700256574
2017-12-09,2017-12-22,13,1230,2017,12,9,6,2017,12,22,5,2,1230,1230.204081632653,739.4117647058823,694.6022700256574
2017-12-08,2017-12-22,14,1230,2017,12,8,5,2017,12,22,5,2,1230,1230.2083333333333,694.8837209302326,662.4681022384212
2017-12-07,2017-12-22,15,1230,2017,12,7,4,2017,12,22,5,2,1230,1230.2127659574471,686.3636363636364,668.9868433146816
2017-12-06,2017-12-22,16,1230,2017,12,6,3,2017,12,22,5,2,1230,1230.2173913043478,690.3030303030303,668.7492672640685
2017-12-05,2017-12-22,17,1230,2017,12,5,2,2017,12,22,5,2,1230,1230.2222222222224,680.5882352941177,662.7999801299713
2017-12-04,2017-12-22,18,1230,2017,12,4,1,2017,12,22,5,2,1230,1230.2272727272727,688.7878787878788,671.0657896487936
2017-12-03,2017-12-22,19,1230,2017,12,3,7,2017,12,22,5,2,1230,1230.2325581395348,696.6666666666666,677.4480321182224
2017-12-02,2017-12-22,20,1230,2017,12,2,6,2017,12,22,5,2,1230,1230.2380952380952,709.3939393939394,692.647415436566
2017-12-01,2017-12-22,21,1240,2017,12,1,5,2017,12,22,5,3,1230,1230.2439024390244,705.9375,691.6761848209222
2017-12-01,2017-12-22,21,1230,2017,12,1,5,2017,12,22,5,3,1230,1230.0,705.9375,691.6761848209222
2017-11-30,2017-12-22,22,1230,2017,11,30,4,2017,12,22,5,3,1230,1230.0,680.9090909090909,660.634251250105
2017-11-29,2017-12-22,23,1230,2017,11,29,3,2017,12,22,5,3,1230,1230.0,688.75,670.9440894905536
2017-11-28,2017-12-22,24,1230,2017,11,28,2,2017,12,22,5,3,1230,1230.0,684.6875,666.9568436098042
2017-11-27,2017-12-22,25,1230,2017,11,27,1,2017,12,22,5,3,1230,1230.0,684.6875,666.4520482653705
2017-11-26,2017-12-22,26,1230,2017,11,26,7,2017,12,22,5,3,1230,1230.0,696.875,672.860165969541
2017-11-25,2017-12-22,27,1230,2017,11,25,6,2017,12,22,5,3,1230,1230.0,696.875,672.1339577497668
2017-11-24,2017-12-22,28,1230,2017,11,24,5,2017,12,22,5,3,1230,1230.0,710.0,687.8515963203463
2017-11-23,2017-12-22,29,1230,2017,11,23,4,2017,12,22,5,3,1230,1230.0,686.4705882352941,664.2424078588655
2017-11-22,2017-12-22,30,1230,2017,11,22,3,2017,12,22,5,3,1230,1230.0,663.4375,661.1687247983871
2017-11-21,2017-12-22,31,1230,2017,11,21,2,2017,12,22,5,4,1230,1230.0,666.7741935483871,668.7956989247311
2017-11-20,2017-12-22,32,1230,2017,11,20,1,2017,12,22,5,4,1230,1230.0,666.7741935483871,668.8654060066741
